ID,Variable_Name,Variable_Description
CASEID,CASE_ID,Case identification number
V1,YEAR_OF_ADMINISTRATION,Year of Administration
V3,FORM_ID,ID associated with a form
V4,RS_ID_SERIAL,5 digit code exclusive to each grade
V5,SAMPLING_WEIGHT,Sampling weight used for all analyses
V501,GRADE,Grade
V507,SCHOOL_REGION,"Region of the country, based on Census categories, in which respondent's school is located."
V508,LARGE_MSA_1_NOT_0,"Component variable, along with V509, for a standardized 3-category measure of population density. Population
density is largest (""Large MSA"") when V508 is coded 1 and V509 is coded 1, medium-sized (""Other MSA"") when
V508 is 0 and V509 is 1, and smallest (""Non-MSA"") when both V508 and V509 are coded 0."
V509,MSA_1_NON_MSA_0,"MSA: Metropolitan Statistical Area as defined for the US Census, a county or group of contiguous counties (or, in
New England, Consolidated Metropolitan Areas) that contain at least one city of 50,000 inhabitants or more. (Known
as ""Standard Metropolitan Statistical Area"" in the 1970 census.)"
V7101,EVR_SMK_CIG_REGL,Have you ever smoked cigarettes?
V7102,CIGS_SMKD_30DAY,How frequently have you smoked cigarettes during the past 30 days?
V7442,GR_1ST_SMOK_DLY,"When (if ever) did you FIRST do each of the following things? Don't count anything you took because a doctor told
you to.
Smoke cigarettes on a daily basis"
V7441,GR_1ST_SMOK_EVR,"When (if ever) did you FIRST do each of the following things? Don't count anything you took because a doctor told
you to.
Smoke your first cigarette"
V7103,TRY_STP_SMK_FL,Have you ever tried to stop smoking and found that you could not?
V7180,TRY_STOP_SMK,"How many times, if any, have you tried to stop smoking?"
V7181,WNT_STP_SMK_NW,Do you want to stop smoking now?
V7475,DIF_TRY_QUIT_CIG,"For cigarettes, was there ever a time in your life when you tried to quit or reduce your use and had difficulty doing so?"
V7428,ALL_FRD_SMK_CIGS,How many of your friends would you estimate . . . smoke cigarettes?
V8473,STDNTS_SMK_1CIG,"Now think about all the students in your grade at your school. How many of them do you think . . . smoke one or
more cigarettes a day?"
V7437,PRESR_TO_SMK_CIG,"How much pressure do you feel from your friends and schoolmates to . . .
A: Smoke cigarettes?"
V7412,EASY_GT_CIGS,"How difficult do you think it would be for you to get each of the following types of drugs, if you wanted some?
Cigarettes"
V7167,CIG_HOW_BUY_FRND,"During the last 30 days, about how many times (if any) have you bought cigarettes . . .
A: . . . by having a friend or relative buy them for you?"
V7168,CIG_HOW_BUY_VEND,"During the last 30 days, about how many times (if any) have you bought cigarettes . . .
B: . . . on your own from vending machines?"
V7169,CIG_HOW_BUY_MAIL,"During the last 30 days, about how many times (if any) have you bought cigarettes . . .
C: . . . through the mail?"
V7170,CIG_HOW_BUY_PKUP,"During the last 30 days, about how many times (if any) have you bought cigarettes . . .
D: . . . in a store where you pick up the pack (or carton) and bring it to the check-out counter?"
V7171,CIG_HOW_BUY_CLRK,"During the last 30 days, about how many times (if any) have you bought cigarettes . . .
E: . . . in a store where the clerk has to hand you the pack or carton?"
V7172,CIG_WHERE_SUPMKT,"During the last 30 days, about how many times (if any) did YOU buy cigarettes for your own use . . .
A: . . . at a big supermarket?"
V7173,CIG_WHERE_SMLGRC,"During the last 30 days, about how many times (if any) did YOU buy cigarettes for your own use . . .
B: . . . at a small grocery store?"
V7174,CIG_WHERE_DRGSTR,"During the last 30 days, about how many times (if any) did YOU buy cigarettes for your own use . . .
C: . . . at a drugstore?"
V7175,CIG_WHERE_CNVGAS,"During the last 30 days, about how many times (if any) did YOU buy cigarettes for your own use . . .
D: . . . at a convenience store (like a Hop-In or 7-11) or a gas station?"
V7177,CIG_PROOF_OF_AGE,"The last time that you tried to buy cigarettes in a store or gas station, were you asked for proof of age?"
